2022-11-26 02:02:37 TAI ####______|_______________|____#________##|##########
2022-11-26 02:02:38 TAI ####______|__#############|###############|##########
2022-11-26 02:02:39 TAI ###_______|___############|###############|##########
2022-11-26 02:02:40 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:41 TAI #####_____|__#############|###############|##########
2022-11-26 02:02:42 TAI ##________|___############|###############|##########
2022-11-26 02:02:43 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:44 TAI ##________|____________###|__#############|##########
2022-11-26 02:02:45 TAI ##________|___############|###############|##########
2022-11-26 02:02:46 TAI ####______|______________#|___#______####_|__########
2022-11-26 02:02:47 TAI ##________|__#############|###############|##########
2022-11-26 02:02:48 TAI ##________|__#############|###############|##########
2022-11-26 02:02:49 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:50 TAI ##________|__#############|###############|##########
2022-11-26 02:02:51 TAI ###_______|__#############|###############|##########
2022-11-26 02:02:52 TAI ##________|__#############|###############|##########
2022-11-26 02:02:53 TAI ###_______|__#############|########_######|##########
2022-11-26 02:02:54 TAI ###_______|##______##_###_|###############|##########
2022-11-26 02:02:55 TAI ###_###___|_##############|###############|##########
2022-11-26 02:02:56 TAI ##________|_______________|_______________|__########
2022-11-26 02:02:57 TAI ###_____##|###############|###############|##########
2022-11-26 02:02:58 TAI ###_______|___############|###############|##########
2022-11-26 02:02:59 TAI #__#______|#####_________#|###############|##########
2022-11-26 02:03:00 TAI ###___##__|___#__###______|__#############|##########
2022-11-26 02:03:01 TAI ##________|__#############|###############|##########
2022-11-26 02:03:02 TAI ###_______|___############|###############|##########
2022-11-26 02:03:03 TAI ###_______|___############|###############|##########
2022-11-26 02:03:04 TAI ##________|_______________|_##############|##########
2022-11-26 02:03:05 TAI ########_#|#______________|###############|_#####_###
2022-11-26 02:03:06 TAI __##__###_|___#__#___###__|###__###_##__#_|##########
2022-11-26 02:03:07 TAI ##_______#|_##############|###############|##########
2022-11-26 02:03:08 TAI ##_#______|_##_#########_#|#__############|##########
2022-11-26 02:03:09 TAI ##________|___############|###############|##########
2022-11-26 02:03:10 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:11 TAI ##________|__#############|###########_#__|####_#####
2022-11-26 02:03:12 TAI #____#####|_____##########|###############|##########
2022-11-26 02:03:13 TAI ##________|_______________|__#############|##########
2022-11-26 02:03:14 TAI ###_______|_##############|###############|##########
2022-11-26 02:03:15 TAI #####_____|_______________|__#############|##########
2022-11-26 02:03:16 TAI ###_______|_______________|_______________|_#########
2022-11-26 02:03:17 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:18 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:19 TAI ##________|___############|###############|##########
2022-11-26 02:03:20 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:21 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:22 TAI #####__#__|__#############|###############|##########
2022-11-26 02:03:23 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:24 TAI ##________|_______________|__#############|##########
2022-11-26 02:03:25 TAI ###_##____|__#############|###############|##########
2022-11-26 02:03:26 TAI ###_______|_______________|_______________|_#########
2022-11-26 02:03:27 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:28 TAI ####______|__#############|###############|##########
2022-11-26 02:03:29 TAI ##________|_______________|__#############|##########
2022-11-26 02:03:30 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:31 TAI ##________|___############|###############|##########
2022-11-26 02:03:32 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:33 TAI ##________|__#############|###############|##########
2022-11-26 02:03:34 TAI ##________|___############|###############|##########
2022-11-26 02:03:35 TAI ##________|__#############|###############|##########
2022-11-26 02:03:36 TAI #####_____|_______________|_______________|__########
2022-11-26 02:03:37 TAI ###_______|_______________|_______________|_#########
2022-11-26 02:03:38 TAI ###_______|_##############|###############|##########
2022-11-26 02:03:39 TAI ##________|__#############|###############|##########
2022-11-26 02:03:40 TAI ##________|__#############|###############|##########
2022-11-26 02:03:41 TAI #_________|__#############|###############|##########
2022-11-26 02:03:42 TAI ###_______|___############|###############|##########
2022-11-26 02:03:43 TAI ##________|__#############|###############|##########
2022-11-26 02:03:44 TAI ##________|_______________|__#############|##########
2022-11-26 02:03:45 TAI ####______|_______________|__#############|##########
2022-11-26 02:03:46 TAI ###_______|_______________|________##_____|__########
2022-11-26 02:03:47 TAI ###_______|_##############|###############|##########
2022-11-26 02:03:48 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:49 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:50 TAI ####______|__#############|###############|##########
2022-11-26 02:03:51 TAI ####______|__#############|###############|##########
2022-11-26 02:03:52 TAI ####______|__#############|###############|_#########
2022-11-26 02:03:53 TAI ####______|___############|###############|##########
2022-11-26 02:03:54 TAI ##________|_______________|__#############|##########
2022-11-26 02:03:55 TAI ##___##___|__#############|###############|##########
2022-11-26 02:03:56 TAI _##_______|_______________|_______________|__########
2022-11-26 02:03:57 TAI ###_______|__#############|###############|##########
2022-11-26 02:03:58 TAI ##________|__#############|###############|##########
2022-11-26 02:03:59 TAI ##________|_______________|__#############|#######_##
2022-11-26 02:04:00 TAI ###_______|___##_____###__|_##############|###_######
2022-11-26 02:04:01 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:02 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:03 TAI ##________|__#############|###############|##########
2022-11-26 02:04:04 TAI ###_______|_______________|__#############|##########
2022-11-26 02:04:05 TAI ##______##|##____#_###_#_#|#####__########|##########
2022-11-26 02:04:06 TAI #_________|_##____##_#_#__|______#__#####_|##########
2022-11-26 02:04:07 TAI ###_##__#_|_##############|###############|##########
2022-11-26 02:04:08 TAI ###_______|_##############|###############|##########
2022-11-26 02:04:09 TAI ##________|__#############|###############|##########
2022-11-26 02:04:10 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:11 TAI ##________|__#############|###############|##########
2022-11-26 02:04:12 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:13 TAI ###_______|__##___________|__#############|##########
2022-11-26 02:04:14 TAI ####______|__#############|###############|##########
2022-11-26 02:04:15 TAI ###_______|____##____#_###|_##############|##########
2022-11-26 02:04:16 TAI ##______#_|___##_______#__|__#####____##__|_#########
2022-11-26 02:04:17 TAI #######__#|###############|###############|#_########
2022-11-26 02:04:18 TAI ##_#####__|__######____###|###############|##########
2022-11-26 02:04:19 TAI ####_____#|_##############|###############|##########
2022-11-26 02:04:20 TAI ##________|__#############|###############|##########
2022-11-26 02:04:21 TAI ##________|__#############|###############|##########
2022-11-26 02:04:22 TAI ####______|__#############|###############|##########
2022-11-26 02:04:23 TAI #####_____|__#############|###############|##########
2022-11-26 02:04:24 TAI ##________|_______________|___############|##########
2022-11-26 02:04:25 TAI ###_______|___############|###############|##########
2022-11-26 02:04:26 TAI ##________|_______________|_______________|_#########
2022-11-26 02:04:27 TAI #####_____|_##############|###############|##########
2022-11-26 02:04:28 TAI ###_______|___############|###############|##########
2022-11-26 02:04:29 TAI ###_______|_______________|_##############|##########
2022-11-26 02:04:30 TAI ###_______|___############|###############|##########
2022-11-26 02:04:31 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:32 TAI #_________|__#############|###############|##########
2022-11-26 02:04:33 TAI ##________|__#############|###############|##########
2022-11-26 02:04:34 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:35 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:36 TAI ###_______|_______________|_______________|__########
2022-11-26 02:04:37 TAI #####_____|_______________|_________##____|_#########
2022-11-26 02:04:38 TAI ########__|_##############|###############|##########
2022-11-26 02:04:39 TAI ##________|___############|###############|##########
2022-11-26 02:04:40 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:41 TAI ##________|__#############|###############|##########
2022-11-26 02:04:42 TAI ##________|___############|###############|##########
2022-11-26 02:04:43 TAI ##________|_______________|__#############|##########
2022-11-26 02:04:44 TAI ####______|__#############|###############|##########
2022-11-26 02:04:45 TAI ##________|__#############|###############|##########
2022-11-26 02:04:46 TAI #_________|_______________|_______________|__########
2022-11-26 02:04:47 TAI #####_____|__#############|###############|##########
2022-11-26 02:04:48 TAI ##________|__#############|###############|##########
2022-11-26 02:04:49 TAI ##________|__#############|###############|##########
2022-11-26 02:04:50 TAI ##________|__#############|###############|##########
2022-11-26 02:04:51 TAI ##________|_##############|###############|##########
2022-11-26 02:04:52 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:53 TAI ##________|__#############|###############|##########
2022-11-26 02:04:54 TAI ##________|_______________|__#############|######_###
2022-11-26 02:04:55 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:56 TAI ###_______|_______________|________#______|_#########
2022-11-26 02:04:57 TAI ###_______|__#############|###############|##########
2022-11-26 02:04:58 TAI #####_____|__#############|###############|##########
2022-11-26 02:04:59 TAI ##________|_______________|_##############|##########
2022-11-26 02:05:00 TAI ##________|_______________|__#############|##########
2022-11-26 02:05:01 TAI ####______|___############|###############|##########
2022-11-26 02:05:02 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:03 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:04 TAI ###_______|_______________|__#############|##########
2022-11-26 02:05:05 TAI ####______|_______________|__#############|#########_
2022-11-26 02:05:06 TAI ##________|____###_#_#__##|#_________#__##|#_########
2022-11-26 02:05:07 TAI #######__#|###############|###############|##########
2022-11-26 02:05:08 TAI ##________|___############|###############|##########
2022-11-26 02:05:09 TAI ##________|___############|###############|##########
2022-11-26 02:05:10 TAI #####_____|__#############|###############|##########
2022-11-26 02:05:11 TAI ###_______|___######____##|###############|##########
2022-11-26 02:05:12 TAI #####_____|___############|###############|##########
2022-11-26 02:05:13 TAI ##________|_______________|__###########_#|#########_
2022-11-26 02:05:14 TAI _##___###_|____###########|########_######|##########
2022-11-26 02:05:15 TAI #######___|____##_________|_##############|##########
2022-11-26 02:05:16 TAI ##________|_______________|_______________|_#########
2022-11-26 02:05:17 TAI #####_____|__#############|###############|##########
2022-11-26 02:05:18 TAI ##________|__#############|###############|##########
2022-11-26 02:05:19 TAI ####______|__#############|###############|##########
2022-11-26 02:05:20 TAI ##__##____|__#############|###############|########__
2022-11-26 02:05:21 TAI __________|___####_#######|#######___#####|##########
2022-11-26 02:05:22 TAI ####____##|###############|###############|##########
2022-11-26 02:05:23 TAI ###_____##|####_##########|###############|##########
2022-11-26 02:05:24 TAI ##________|_______________|__#############|##########
2022-11-26 02:05:25 TAI ##________|__#############|###############|##########
2022-11-26 02:05:26 TAI ###_______|_______________|_______________|__########
2022-11-26 02:05:27 TAI ###__#____|__#############|###############|##########
2022-11-26 02:05:28 TAI ####______|__#############|###############|##########
2022-11-26 02:05:29 TAI ###_______|_______________|__#############|##########
2022-11-26 02:05:30 TAI ##________|__#############|###############|##########
2022-11-26 02:05:31 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:32 TAI #####_____|__#############|###############|##########
2022-11-26 02:05:33 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:34 TAI ##________|__#############|###############|##########
2022-11-26 02:05:35 TAI ##________|__#############|###############|##########
2022-11-26 02:05:36 TAI ###_______|_______________|_______________|_#########
2022-11-26 02:05:37 TAI ####______|_______________|_______________|__########
2022-11-26 02:05:38 TAI ####______|_##############|###############|##########
2022-11-26 02:05:39 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:40 TAI ##________|__#############|###############|##########
2022-11-26 02:05:41 TAI ###_______|___############|###############|##########
2022-11-26 02:05:42 TAI ###_______|__#############|###############|##########
2022-11-26 02:05:43 TAI ###_______|_______________|__#############|##########
2022-11-26 02:05:44 TAI ##________|_##############|###############|##########
2022-11-26 02:05:45 TAI ###_______|_______________|__#############|##########
2022-11-26 02:05:46 TAI ###_______|_______________|_______________|_#########
