2023-01-04 11:02:25 TAI #####_____|__#############|###############|##########
2023-01-04 11:02:26 TAI ##________|______##___#___|_#_#__________#|_#########
2023-01-04 11:02:27 TAI ####___###|###############|###############|##########
2023-01-04 11:02:28 TAI ##____#_##|___############|###############|##########
2023-01-04 11:02:29 TAI ##___#___#|____#__________|###############|##########
2023-01-04 11:02:30 TAI ####_____#|####_______#___|___############|##########
2023-01-04 11:02:31 TAI ###___#___|__#############|###############|##########
2023-01-04 11:02:32 TAI ###_______|__#############|###############|##########
2023-01-04 11:02:33 TAI ###_______|___############|###############|##########
2023-01-04 11:02:34 TAI #_________|_##############|###############|##########
2023-01-04 11:02:35 TAI ##________|_##############|###############|##########
2023-01-04 11:02:36 TAI ###_______|_______________|_______________|__########
2023-01-04 11:02:37 TAI ###_______|________###____|#___#____##__##|##########
2023-01-04 11:02:38 TAI ##_###____|__#############|###############|##########
2023-01-04 11:02:39 TAI ####______|___############|###############|##########
2023-01-04 11:02:40 TAI ###_______|__#############|###############|##########
2023-01-04 11:02:41 TAI ######____|__#__##########|###############|##########
2023-01-04 11:02:42 TAI ###_______|____###########|###############|##########
2023-01-04 11:02:43 TAI #_________|__#############|###############|##########
2023-01-04 11:02:44 TAI ####______|_______________|__#############|##########
2023-01-04 11:02:45 TAI ###_______|__#############|###############|##########
2023-01-04 11:02:46 TAI #________#|_________#_____|_______________|__########
2023-01-04 11:02:47 TAI ####____##|_##############|###############|###__#####
2023-01-04 11:02:48 TAI ###___###_|___#####__#####|###############|##########
2023-01-04 11:02:49 TAI ###__#_#__|____###########|###############|##########
2023-01-04 11:02:50 TAI ####______|_______________|__#############|##########
2023-01-04 11:02:51 TAI ##________|__#############|###############|##########
2023-01-04 11:02:52 TAI ####______|____###########|###############|##########
2023-01-04 11:02:53 TAI ##________|__#############|###############|##########
2023-01-04 11:02:54 TAI ##________|__#############|###############|##########
2023-01-04 11:02:55 TAI ##________|__________#____|__#############|##########
2023-01-04 11:02:56 TAI ####______|_______________|______#________|___#######
2023-01-04 11:02:57 TAI ####______|_##############|###############|##########
2023-01-04 11:02:58 TAI ###_______|___############|###############|##########
2023-01-04 11:02:59 TAI ###_______|____###########|###############|##########
2023-01-04 11:03:00 TAI ####_#____|__#############|###############|##########
2023-01-04 11:03:01 TAI #_________|__#############|###############|##########
2023-01-04 11:03:02 TAI ###_______|____###########|###############|##########
2023-01-04 11:03:03 TAI ##________|___############|###############|##########
2023-01-04 11:03:04 TAI ###__#____|___############|###############|##########
2023-01-04 11:03:05 TAI ####______|___############|###############|#####_####
2023-01-04 11:03:06 TAI ###_______|_______________|___##_______###|___#######
2023-01-04 11:03:07 TAI ####______|___############|#####_#########|##########
2023-01-04 11:03:08 TAI #####_____|_______________|__########_####|##########
2023-01-04 11:03:09 TAI ######___#|###############|######__#######|##########
2023-01-04 11:03:10 TAI ###_______|__#############|###############|##########
2023-01-04 11:03:11 TAI ###_______|___##########__|###############|##########
2023-01-04 11:03:12 TAI ##________|_##############|###############|##########
2023-01-04 11:03:13 TAI ###__##___|_______________|__#############|##########
2023-01-04 11:03:14 TAI ##________|____###########|###############|##########
2023-01-04 11:03:15 TAI ##________|___#_______#_##|__#############|##########
2023-01-04 11:03:16 TAI ##__##____|_#__________#_#|###____________|__########
2023-01-04 11:03:17 TAI ######____|###############|###############|##########
2023-01-04 11:03:18 TAI ###_______|__#############|###############|##########
2023-01-04 11:03:19 TAI ##________|__#############|###############|##########
2023-01-04 11:03:20 TAI ##________|__#############|###############|##########
2023-01-04 11:03:21 TAI ###_______|___############|###############|##########
2023-01-04 11:03:22 TAI ##________|_____##########|###############|##########
2023-01-04 11:03:23 TAI ###_______|__#############|###############|##########
2023-01-04 11:03:24 TAI ###_______|__________#____|__##_##########|##########
2023-01-04 11:03:25 TAI ###_______|__#############|###############|##########
2023-01-04 11:03:26 TAI ####___#__|______________#|#______#_______|__########
2023-01-04 11:03:27 TAI ###_______|__#############|###############|##########
2023-01-04 11:03:28 TAI ##______#_|__#############|########__#####|##########
2023-01-04 11:03:29 TAI ##_____###|#______________|_##############|##########
2023-01-04 11:03:30 TAI ###_______|_______####____|__#############|##########
2023-01-04 11:03:31 TAI ##________|__#############|###############|##########
2023-01-04 11:03:32 TAI ###_______|___############|###############|#####_####
2023-01-04 11:03:33 TAI ##__#_____|__#########_###|###############|##########
2023-01-04 11:03:34 TAI ##________|#___###########|###############|##########
2023-01-04 11:03:35 TAI ###_______|__#############|###############|##########
2023-01-04 11:03:36 TAI ##________|_______________|_______________|_#########
2023-01-04 11:03:37 TAI ###_______|______####_____|__________####_|_#########
2023-01-04 11:03:38 TAI ####_#___#|###############|###############|##########
2023-01-04 11:03:39 TAI ##________|__#####_#######|###############|##########
2023-01-04 11:03:40 TAI ###_______|___############|###############|#__#######
2023-01-04 11:03:41 TAI ###______#|_____##########|###############|########_#
2023-01-04 11:03:42 TAI #####_____|###############|###############|##########
2023-01-04 11:03:43 TAI ##_______#|_##############|###############|##########
2023-01-04 11:03:44 TAI ###_______|_______#_______|_##############|##########
2023-01-04 11:03:45 TAI ##________|___##__________|###############|##########
2023-01-04 11:03:46 TAI ###_______|________#______|###___#____####|#_########
